
TestCase 	2020.10.06 19:59:44:	 xmlGetAPI.RestAPITestCases
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.11 15:48:42  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min

TestCase 	2020.10.11 15:48:57:	 xmlGetAPI.RestAPITestCases

STEP 1	2020.10.11 15:48:57:	Sending GET query
INFO	2020.10.11 15:48:57  xmlGetAPI.RestAPITestCases:	Sending query
INFO	2020.10.11 15:49:00  xmlGetAPI.RestAPITestCases:	Checking response status code
INFO	2020.10.11 15:49:00  xmlGetAPI.models.BooksInitialization:	Initialisation of booksList
INFO	2020.10.11 15:49:00  xmlGetAPI.models.BooksInitialization:	Set books' id
INFO	2020.10.11 15:49:00  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.11 15:49:00  xmlGetAPI.models.BooksInitialization:	Add book's id
