
TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getAllProjectsWithUniqueTestsAmount query:
Nexage | 105
Brand Alley | 14
Bercut | 37
Megafon | 32
Envisia | 12
Iota | 64

TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getMinTimeOfEveryTest query:
Nexage | KS-5653 Verify that Medium Rectangle placement can be added from Applications and Sites grid | 239
Nexage | KS-5700 Sellers: Position Setup: add and edit position with Native type | 252
Nexage | KS-573 Verify that Seller Revenue report can be drilled down by Seller User | 996
Nexage | KS-5759 Sellers: Position Setup: add In-stream Video position and check all correct data are shown in PSS, update in PSS and check in seller admin | 329
Nexage | KS-5765 Change dimension filters for Seller Revenue report | 412
Nexage | KS-5783 Sellers Tag Setup override settings for Banner different values Inherited from position | 346
Nexage | KS-5806 Verify that columns can be hidden and unhidden in Nexage Finance Reports | 1236
Nexage | KS-5815 PSS Verify that Ad Size can be overriden at tag level Impersonate | 289
Nexage | KS-5817 Verify that ONE: Mobile Marketplace Ad Source can be created | 143
Nexage | KS-5841 Verify that MM Network Ad Source can be created | 328
Nexage | KS-5987 users: verify Nexage User can impersonate as Seller User only | 325
Nexage | KS-5988 Verify that its possible to clone deal | 2915
Nexage | KS-6010 Verify AND search for Available suppliers grid | 1399
Nexage | KS-6013 PSS Mediation Ad Source verify different Reporting Settings parameters are shown as configured for Adnet | 152
Nexage | KS-6059 Verify that Internal Manager can be edited | 252
Nexage | KS-6062 Verify that Internal User can be deleted | 252
Nexage | KS-6110 PSS: Users: Verify that sites can be edited for users | 0
Nexage | KS-6123 Impersonate PSS Default Reporting Settings verify all fields are prefilled with values saved on Ad source | 435
Nexage | KS-6134 PSS: Verify that MM Exchange Ad Source can be created with default bidder groups | 675
Nexage | KS-6159 PSS: perform Save and Add Exchange when new placement is added from the grid | 237
Nexage | KS-6268 Verify that Buyer admin can be created | 327
Nexage | KS-6279 Verify that Seller user can be deleted | 355
Nexage | KS-6280 Verify that Buyer user can be deleted | 298
Nexage | KS-6457 Impersonate Applications and Sites Verify that placement can be edited interstitial to banner | 0
Nexage | KS-6469 PSS Verify that Test Ad Source can be edited | 555
Nexage | KS-6978 PSS MM Network Verify that it's possible to copy tag | 148
Nexage | KS-6980 PSS Mediation Ad Source Verify that it's possible to copy tag | 1077
Nexage | KS-6998 PSS Verify that tag can be paused | 1589
Brand Alley | KS-1813 Verify that Nexage Only Configuration can be saved | 252
Brand Alley | KS-3272 Ad server verify that actions can be performed for Running campaigns | 146
Brand Alley | KS-3696 Ad server new campaign verify that creative and tag can be deleted | 553
Brand Alley | KS-4348 PSS Create new Block group verify that block group can be added by Nexage admin as PSS admin | 859
Brand Alley | KS-4353 Verify that Connect Partner can be saved with required fields | 44
Brand Alley | KS-4476 PSS Verify that its possible to edit an app site Android | 312
Brand Alley | KS-4578 Verify that Placement can be edited in the Settings tab | 141
Brand Alley | KS-4675 Settings Verify that Publisher Bidder Group can be edited by Seller admin and manager | 201
Brand Alley | KS-4846 Settings Verify that Bidder Group can be created | 0
Brand Alley | KS-5399 Impersonate PSS Campaign Status verify that incomplete campaign can be changed to running | 375
Brand Alley | KS-5694 Sellers: Position Setup: add and edit position with Interstitial type | 433
Brand Alley | KS-5988 Verify that its possible to clone deal | 245
Brand Alley | KS-6010 Verify AND search for Available suppliers grid | 2005
Brand Alley | KS-6978 PSS MM Network Verify that it's possible to copy tag | 789
Bercut | KS-1820 Verify that Bidder Configuration can be saved | 2804
Bercut | KS-2572 AVP verify that actions can be performed when status is Verified | 180
Bercut | KS-2860 Ad server Verify that summary section and campaigns grid are displayed | 507
Bercut | KS-3173 Verify that enabled or disabled deals can be disabled or enabled | 134
Bercut | KS-3317 Deals Supply List verify that Buyer can be added | 161
Bercut | KS-3695 Ad Server New Campaign verify that 3rd party tag can be edited | 517
Bercut | KS-3799 Ad Server Campaign Country Targeting verify that target countries can be selected | 148
Bercut | KS-3955 Ad Server new campaign Position verify that positions and sites can be selected | 865
Bercut | KS-408 Verify that Reports tabs can be removed | 182
Bercut | KS-4218 Impersonate Verify that role can be changed | 249
